androidx.navigation.Navigation,19
androidx.navigation.ui.NavigationUI,18
androidx.navigation.NavController,20
androidx.fragment.app.ListFragment,31
androidx.core.content.IntentCompat,1
androidx.appcompat.app.AlertDialog.Builder,13
androidx.core.app.NavUtils,48
androidx.loader.content.AsyncTaskLoader,19
androidx.core.app.NotificationCompat.BigTextStyle,1
androidx.webkit.WebViewFeature,9
androidx.test.espresso.matcher.ViewMatchers.isEnabled,4
androidx.test.espresso.FailureHandler,2
androidx.annotation.FontRes,1
androidx.test.espresso.assertion.ViewAssertions.matches,24
androidx.test.espresso.ViewInteraction,14
androidx.test.internal.runner.junit4.AndroidJUnit4ClassRunner,5
androidx.test.espresso.matcher.ViewMatchers.withId,28
androidx.test.espresso.matcher.ViewMatchers.withContentDescription,14
androidx.webkit.WebSettingsCompat,9
androidx.appcompat.view.ActionMode,33
androidx.annotation.DrawableRes,78
androidx.test.rule.GrantPermissionRule,8
androidx.test.espresso.matcher.ViewMatchers.isDisplayed,23
androidx.annotation.Keep,21
androidx.core.os.EnvironmentCompat,4
androidx.annotation.IdRes,49
androidx.preference.EditTextPreferenceDialogFragmentCompat,3
androidx.databinding.DataBindingUtil,23
androidx.annotation.WorkerThread,30
androidx.loader.app.LoaderManager.LoaderCallbacks,6
androidx.core.app.TaskStackBuilder,33
androidx.core.app.JobIntentService,20
androidx.collection.LongSparseArray,15
androidx.preference.EditTextPreference,45
androidx.core.content.PermissionChecker,2
androidx.appcompat.widget.ListPopupWindow,7
androidx.core.view.WindowInsetsCompat,7
androidx.core.widget.NestedScrollView,30
androidx.annotation.ColorRes,37
androidx.vectordrawable.graphics.drawable.AnimatedVectorDrawableCompat,7
androidx.annotation.IntRange,16
androidx.annotation.PluralsRes,9
androidx.work.WorkInfo,6
androidx.work.WorkRequest,3
androidx.appcompat.widget.AppCompatCheckBox,19
androidx.appcompat.widget.AppCompatButton,19
androidx.annotation.StyleRes,30
androidx.annotation.ArrayRes,9
androidx.room.Query,43
androidx.lifecycle.DefaultLifecycleObserver,3
androidx.annotation.AttrRes,25
androidx.room.Index,14
androidx.room.Insert,43
androidx.room.RoomDatabase,43
androidx.lifecycle.Lifecycle,13
androidx.room.ForeignKey,13
androidx.core.util.Pair,30
androidx.room.Relation,3
androidx.appcompat.widget.LinearLayoutCompat,12
androidx.room.ColumnInfo,28
androidx.room.Room,43
androidx.room.Transaction,5
androidx.annotation.MainThread,12
androidx.room.Dao,43
androidx.annotation.GuardedBy,3
androidx.fragment.app.FragmentContainerView,1
androidx.annotation.IntDef,25
androidx.room.Entity,43
androidx.recyclerview.widget.StaggeredGridLayoutManager,17
androidx.room.Database,34
androidx.room.Embedded,4
androidx.core.util.Consumer,10
androidx.appcompat.view.menu.MenuBuilder,13
androidx.core.os.CancellationSignal,5
androidx.test.filters.SmallTest,10
androidx.appcompat.widget.AppCompatEditText,39
androidx.appcompat.app.AppCompatDialog,9
androidx.biometric.BiometricPrompt,6
androidx.biometric.BiometricManager,3
androidx.room.PrimaryKey,39
androidx.sqlite.db.SupportSQLiteQuery,2
androidx.room.Ignore,19
androidx.room.TypeConverters,12
androidx.core.text.HtmlCompat,19
androidx.room.TypeConverter,12
androidx.room.Delete,30
androidx.room.OnConflictStrategy,22
androidx.core.graphics.drawable.RoundedBitmapDrawable,3
androidx.recyclerview.widget.DefaultItemAnimator,23
androidx.room.RawQuery,1
androidx.room.Update,27
androidx.sqlite.db.SupportSQLiteDatabase,22
androidx.navigation.NavDestination,3
androidx.navigation.fragment.NavHostFragment,9
androidx.recyclerview.widget.PagerSnapHelper,1
androidx.core.graphics.drawable.RoundedBitmapDrawableFactory,3
androidx.recyclerview.widget.SnapHelper,1
androidx.core.os.ConfigurationCompat,3
androidx.core.view.GestureDetectorCompat,13
androidx.core.app.RemoteInput,14
androidx.core.app.NotificationCompat.Builder,8
androidx.customview.widget.ViewDragHelper,8
androidx.interpolator.view.animation.FastOutSlowInInterpolator,11
androidx.appcompat.content.res.AppCompatResources,29
androidx.preference.CheckBoxPreference,38
androidx.core.widget.TextViewCompat,14
androidx.core.os.BuildCompat,2
androidx.core.view.WindowCompat,2
androidx.recyclerview.widget.RecyclerView.ViewHolder,6
androidx.annotation.VisibleForTesting,31
androidx.recyclerview.widget.RecyclerView.OnScrollListener,2
androidx.test.espresso.Espresso.pressBack,6
androidx.test.espresso.action.ViewActions.replaceText,7
androidx.test.espresso.action.ViewActions.closeSoftKeyboard,4
androidx.recyclerview.widget.LinearSmoothScroller,4
androidx.test.espresso.matcher.ViewMatchers.withClassName,5
androidx.lifecycle.OnLifecycleEvent,5
androidx.test.espresso.action.ViewActions.longClick,8
androidx.lifecycle.LifecycleObserver,6
androidx.core.util.Pools,3
androidx.test.platform.app.InstrumentationRegistry.getInstrumentation,7
androidx.preference.EditTextPreference.OnBindEditTextListener,1
androidx.appcompat.view.menu.*,1
androidx.interpolator.view.animation.LinearOutSlowInInterpolator,3
androidx.appcompat.view.menu.MenuItemImpl,4
androidx.recyclerview.widget.DiffUtil,30
androidx.appcompat.view.ActionMode.Callback,3
androidx.fragment.app.*,2
androidx.preference.Preference.OnPreferenceClickListener,6
androidx.appcompat.graphics.drawable.DrawerArrowDrawable,4
androidx.leanback.preference.LeanbackSettingsFragmentCompat,1
androidx.transition.Transition,4
androidx.preference.*,2
androidx.annotation.AnyThread,7
androidx.recyclerview.widget.ListUpdateCallback,4
androidx.interpolator.view.animation.FastOutLinearInInterpolator,2
androidx.appcompat.view.menu.SubMenuBuilder,2
androidx.collection.ArrayMap,10
androidx.preference.PreferenceDataStore,2
androidx.viewpager2.adapter.FragmentStateAdapter,22
androidx.preference.Preference.OnPreferenceChangeListener,6
androidx.vectordrawable.graphics.drawable.VectorDrawableCompat,11
androidx.viewpager2.widget.ViewPager2,23
androidx.annotation.MenuRes,11
androidx.leanback.preference.LeanbackPreferenceFragmentCompat,1
androidx.recyclerview.widget.*,1
androidx.annotation.*,3
androidx.appcompat.widget.ActionMenuView,10
androidx.appcompat.app.AppCompatDelegate.MODE_NIGHT_NO,3
androidx.appcompat.app.AppCompatDelegate.MODE_NIGHT_FOLLOW_SYSTEM,3
androidx.appcompat.app.AppCompatDelegate.MODE_NIGHT_YES,3
androidx.collection.SparseArrayCompat,7
androidx.core.view.GravityCompat.END,1
androidx.appcompat.widget.ListPopupWindow.MATCH_PARENT,1
androidx.appcompat.widget.ListPopupWindow.WRAP_CONTENT,1
androidx.core.view.GravityCompat.START,1
androidx.recyclerview.widget.SimpleItemAnimator,8
androidx.core.app.ShareCompat,10
androidx.preference.PreferenceGroupAdapter,3
androidx.appcompat.widget.AppCompatAutoCompleteTextView,6
androidx.core.widget.ImageViewCompat,5
androidx.collection.LruCache,12
androidx.viewpager.widget.ViewPager.OnPageChangeListener,8
androidx.appcompat.widget.AppCompatSpinner,12
androidx.activity.result.ActivityResultLauncher,19
androidx.activity.result.contract.ActivityResultContracts.StartActivityForResult,4
androidx.activity.result.ActivityResult,7
androidx.activity.result.contract.ActivityResultContracts.RequestPermission,2
androidx.preference.DropDownPreference,1
androidx.annotation.RequiresPermission,5
androidx.annotation.FloatRange,10
androidx.core.view.ViewGroupCompat,1
androidx.databinding.InverseMethod,1
androidx.work.ExistingWorkPolicy,10
androidx.databinding.ObservableLong,1
androidx.databinding.ObservableBoolean,4
androidx.databinding.ObservableField,5
androidx.databinding.ObservableFloat,1
androidx.arch.core.executor.testing.InstantTaskExecutorRule,5
androidx.databinding.InverseBindingListener,3
androidx.work.OneTimeWorkRequest,15
androidx.databinding.BindingAdapter,9
androidx.databinding.InverseBindingAdapter,3
androidx.databinding.BindingConversion,1
androidx.room.migration.Migration,17
androidx.annotation.XmlRes,8
androidx.test.espresso.action.ViewActions,5
androidx.test.espresso.contrib.ViewPagerActions,1
androidx.test.espresso.assertion.ViewAssertions,3
androidx.test.espresso.matcher.ViewMatchers,10
androidx.test.espresso.matcher.RootMatchers,2
androidx.test.espresso.PerformException,7
androidx.test.espresso.UiController,16
androidx.appcompat.widget.AppCompatDrawableManager,2
androidx.viewbinding.ViewBinding,2
androidx.test.espresso.ViewAction,16
androidx.test.espresso.Espresso,11
androidx.test.espresso.matcher.BoundedMatcher,8
androidx.annotation.RawRes,10
androidx.fragment.app.FragmentFactory,1
androidx.fragment.app.testing.FragmentScenario,1
androidx.test.espresso.util.TreeIterables,5
androidx.test.espresso.util.HumanReadables,7
androidx.test.espresso.contrib.PickerActions,1
androidx.work.impl.WorkManagerImpl,1
androidx.work.Data,8
androidx.work.WorkContinuation,1
androidx.test.espresso.Espresso.onData,7
androidx.test.uiautomator.UiDevice,6
androidx.test.espresso.contrib.RecyclerViewActions,5
androidx.test.espresso.DataInteraction,4
androidx.test.espresso.NoMatchingRootException,1
androidx.test.espresso.AmbiguousViewMatcherException,1
androidx.annotation.CheckResult,6
androidx.test.espresso.NoMatchingViewException,10
androidx.recyclerview.widget.ItemTouchHelper.SimpleCallback,3
androidx.lifecycle.MediatorLiveData,8
androidx.core.view.NestedScrollingChild2,3
androidx.browser.customtabs.CustomTabColorSchemeParams,5
androidx.appcompat.view.SupportMenuInflater,2
androidx.core.util.ObjectsCompat,2
androidx.browser.customtabs.CustomTabsService,5
androidx.activity.result.contract.ActivityResultContract,5
androidx.core.view.NestedScrollingChildHelper,11
androidx.appcompat.widget.AppCompatMultiAutoCompleteTextView,1
androidx.print.PrintHelper,1
androidx.appcompat.graphics.drawable.DrawableWrapper,1
androidx.appcompat.view.menu.MenuPopupHelper,4
androidx.activity.result.contract.ActivityResultContracts,17
androidx.activity.result.ActivityResultCallback,6
androidx.preference.TwoStatePreference,7
androidx.collection.ArraySet,3
androidx.activity.OnBackPressedCallback,3
androidx.annotation.StyleableRes,2
androidx.appcompat.app.ActionBar.Tab,1
androidx.activity.result.contract.ActivityResultContracts.OpenDocument,2
androidx.media.session.MediaButtonReceiver,6
androidx.navigation.NavDirections,2
androidx.navigation.ui.AppBarConfiguration,13
androidx.test.espresso.contrib.NavigationViewActions,1
androidx.test.espresso.matcher.RootMatchers.isDialog,1
androidx.palette.graphics.Palette,14
androidx.media.app.NotificationCompat.MediaStyle,4
androidx.annotation.StringDef,5
androidx.core.widget.CompoundButtonCompat,7
androidx.appcompat.app.AppCompatDelegate.setDefaultNightMode,2
androidx.test.espresso.action.ViewActions.typeText,9
androidx.test.espresso.intent.rule.IntentsTestRule,5
androidx.test.espresso.matcher.ViewMatchers.isAssignableFrom,4
androidx.core.util.Preconditions.checkNotNull,4
androidx.test.espresso.matcher.ViewMatchers.assertThat,3
androidx.test.espresso.ViewAssertion,7
androidx.test.espresso.matcher.ViewMatchers.isRoot,9
androidx.test.espresso.intent.matcher.IntentMatchers.toPackage,2
androidx.test.espresso.intent.Intents.intending,3
androidx.test.espresso.Espresso.openActionBarOverflowOrOptionsMenu,8
androidx.test.core.app.ActivityScenario,5
androidx.recyclerview.widget.ListAdapter,16
androidx.core.view.NestedScrollingParent2,1
androidx.core.view.NestedScrollingParent3,3
androidx.annotation.Size,3
androidx.work.ListenableWorker,4
androidx.work.impl.utils.futures.SettableFuture,1
androidx.annotation.AnyRes,1
